5343	5366
1139	5945
6574	6589
1156	6737
410	5259
6563	7147
1036	1794
2359	4927
319	6666
1156	1882
5200	6646
6656	3617
3752	6737
3725	6769
4067	6577
7020	5037
1748	6178
6652	5037
3626	6663
4380	6666
2461	6571
4001	6178
5851	3172
49	6653
49	5200
5037	6654
3021	5037
3704	4827
319	6772
2161	6786
158	6174
3413	5037
5037	6556
158	3869
1157	840
2366	6786
6178	3030
5037	5414
1305	6573
103	6666
2250	6617
5656	6738
2682	5037
6600	6613
2575	6610
1973	3172
284	284
514	6583
55	6578
410	2435
1059	6569
55	1053
55	6670
49	6685
884	6601
1887	6983
1794	6178
6589	5491
1387	6636
2056	4104
3062	4169
5229	2418
1553	5372
3272	6630
6178	6569
72	4705
4941	3050
905	6571
3060	6556
5656	6577
264	5938
4579	6607
3062	6737
3154	5334
6604	4444
5037	6646
6563	2897
4484	6624
1036	6569
840	6600
2911	6176
3172	477
6781	3298
3062	6767
2706	6657
2293	4616
6605	6178
3060	5922
5900	3704
3651	4640
5922	6632
4559	4484
2418	6573
887	6610
1059	2682
2638	6648
221	3346
3472	2682
3651	5729
2759	7455
3356	6592
5037	6927
6178	6683
1957	6308
2635	6662
3192	5027
72	615
1156	5200
4001	6646
102	4001
4586	2366
3797	6737
4445	6784
6578	6178
5259	5259
3803	4952
72	6569
6610	3214
270	6178
1297	3664
4394	5398
5945	5037
4076	5414
158	5259
1036	6805
3738	6781
665	3783
6449	6815
92	6610
445	6580
48	6657
3097	6636
113	6767
3738	6580
7159	6604
6658	6810
2418	6762
4484	6797
2881	6721
6834	3403
1685	6569
6070	2387
3520	5854
1423	4001
72	6555
2682	5037
370	4015
3803	5673
1794	3172
4379	5601
6449	4445
3065	6748
3050	6569
6688	6750
4654	3403
1000	6636
2366	3848
2745	3869
220	3704
6610	6575
6623	6613
2926	5037
3739	5784
3651	3172
87	7017
3738	370
4173	6178
774	4867
1156	6584
660	3803
6569	975
90	6674
4223	6937
6596	6449
3356	6449
4001	270
5845	5660
284	6925
6582	6972
68	3778
1892	6578
6063	5845
2322	7147
3639	6600
6233	270
3639	5156
1887	5601
6598	2923
3151	5702
3651	6640
1957	6610
2366	6712
979	6750
5448	6574
5601	3869
6613	5274
3328	4760
370	7029
5461	6713
587	5259
3062	4507
6140	92
6424	6770
6975	5107
8086	6742
6146	5037
3738	3651
82	4161
3060	5729
55	6632
2165	6449
5808	6761
540	3651
1156	6779
6575	6170
5259	6572
1957	6584
2502	6808
1200	6030
1892	615
6623	6146
8136	6561
68	2923
3678	6672
1960	6666
3109	6672
2926	5037
3030	6571
1156	6575
1957	1464
3752	6555
2461	4484
1821	5184
883	3752
476	6709
6686	6590
6582	6771
6686	6588
3738	4444
3437	6449
1156	3704
5037	3859
4241	6573
652	370
8136	6637
72	6449
2479	6449
2193	6569
5037	5037
5037	6615
842	2822
5533	319
1387	1957
2215	6972
72	5016
6590	4481
55	3783
1156	4001
3752	6609
6623	6648
72	6569
2822	2682
1696	6655
6372	6569
5845	4427
1812	6598
2523	3983
3302	5417
3009	5037
6449	2682
712	5945
3054	4900
5499	5339
6652	6582
1595	7017
6654	6689
6828	5339
840	6600
3734	6734
1941	6751
2440	2589
4897	5037
92	5229
3060	6654
5874	6557
6598	6741
68	6975
2682	3617
3389	55
5702	3783
3403	6605
2418	6636
395	1794
6178	6643
2440	6108
5229	6178
270	4484
1957	6555
615	3060
250	5259
3172	6589
4664	4427
3848	6680
5229	6583
68	6702
264	3664
6569	6583
6178	6563
3752	6556
6757	1294
2934	5037
2699	5660
4341	6975
4484	6607
49	6642
72	4380
4380	2934
3170	3154
3060	6573
72	6030
774	6006
3062	6778
3738	6006
615	842
6569	4500
72	6657
6611	6593
3030	6979
4001	6658
6084	6555
6574	6808
975	6782
1044	6795
6598	4746
4444	1577
6627	7017
3842	5601
5107	6559
5901	3009
6645	6657
3060	2440
2216	6646
1957	4241
3704	6308
2682	6768
5391	1553
395	6804
6559	6573
72	6675
49	6925
4265	6569
2923	5037
3065	5229
1156	5037
5229	5259
221	6679
6585	6030
51	5929
712	6557
6948	6583
55	6712
370	6834
370	6601
2366	6084
975	1067
250	6656
6251	5200
5648	2366
1156	6562
615	6972
4258	6664
4353	6953
370	6128
3092	6562
4077	6636
4731	5037
514	6562
6630	6970
5037	5673
3403	4559
4001	6710
2056	6595
6178	5414
831	3651
2682	6653
6577	6734
319	7029
3582	7013
4015	6569
885	6684
2682	7017
3172	6569
5037	2215
891	2682
4001	6657
370	2418
55	6579
113	6679
5261	6595
5037	6569
6084	270
1794	3272
1748	4484
2947	5259
395	4050
3704	6601
1503	6178
3058	6656
1156	2402
6671	6580
92	3734
1897	6631
49	6701
6449	6666
6569	6704
1882	5639
380	6584
975	5477
1156	6070
6590	5648
5259	2682
284	6637
514	6654
5702	2844
2056	6581
2366	587
158	5229
6732	6555
72	2408
3734	4444
72	5901
4445	4484
2366	6178
1957	2418
6582	4542
3042	6178
362	5414
4703	6178
3403	6669
5601	6700
5200	6970
2635	3062
1387	6352
72	6622
4731	6559
370	6555
92	6710
6709	6259
1205	990
364	5156
4198	6587
5037	5037
1812	4015
49	6655
3738	6569
49	5037
4498	3803
28	5790
264	6623
5038	6577
6146	6449
3172	6644
1503	5197
5825	6982
270	5037
5210	4173
712	6604
3060	6658
1748	2934
6623	6571
2991	6665
3065	6758
2575	6598
5229	6613
3639	6585
419	4731
395	6623
3009	6978
1297	4772
3403	6571
2402	4595
1892	6730
4214	5142
2288	3651
1200	6672
6623	6569
3021	6672
5090	5156
2923	3060
842	6633
1156	4245
1156	6582
6781	6668
6654	6683
5142	6510
652	6603
2366	6646
6178	3704
2972	5169
1139	6639
101	6716
3062	6575
6259	5037
5274	6722
6082	6642
1200	6609
4386	6584
6578	6671
6569	6611
2031	5605
514	6600
4445	6617
6449	4198
6146	6555
1957	6170
2366	3848
4445	5854
1564	6610
975	5901
6610	6740
6569	6557
6577	5945
4050	6592
3914	5038
3030	5037
6663	3009
49	6564
975	5200
4380	511
72	4394
544	6578
2366	3522
975	6595
5037	3062
6718	6580
2366	4952
519	2019
1348	4001
2787	4484
5037	6615
975	6178
1403	6638
2934	6747
3060	6610
6030	6146
4445	6828
1887	90
49	6646
1748	6611
3366	6782
2958	6575
395	6600
2019	2440
1403	4001
4481	7013
49	3803
6610	6655
6593	6589
3803	1397
3176	270
2663	3704
1957	5601
8135	5520
1957	6662
7030	72
1423	5229
6982	2546
1305	6615
3651	3062
4897	6823
3803	6178
2623	6584
3639	2523
82	6649
6574	6817
6558	6178
3738	4067
410	6084
250	3738
6774	6768
1685	6826
6424	1243
240	6574
72	6632
3738	5494
2682	6772
975	6569
3403	6178
4722	6582
364	4103
55	370
3175	6674
6006	6575
1091	6569
712	72
72	4285
399	3752
3172	3491
2440	5923
917	6623
1882	5156
6178	4394
6783	5016
49	5702
5376	6569
5334	6623
5468	4327
49	6449
438	6684
